period,dong_code,district,dong,category,store_count
2024-03-01,30170560,서구,괴정동,부동산업,76
2024-03-01,30170560,서구,괴정동,"사업시설 관리, 사업 지원 및 임대 서비스업",64
2024-03-01,30170560,서구,괴정동,소매업,547
2024-03-01,30170560,서구,괴정동,수리 및 개인 서비스업,278
2024-03-01,30170560,서구,괴정동,숙박업,8
2024-03-01,30170560,서구,괴정동,"예술, 스포츠 및 여가관련 서비스업",80
2024-03-01,30170560,서구,괴정동,음식점업,558
2024-03-01,30170560,서구,괴정동,"전문, 과학 및 기술 서비스업",127
2024-03-01,30170570,서구,가장동,교육 서비스업,15
2024-03-01,30170570,서구,가장동,보건의료업,2
2024-03-01,30170570,서구,가장동,부동산업,14
2024-03-01,30170570,서구,가장동,"사업시설 관리, 사업 지원 및 임대 서비스업",21
2024-03-01,30170570,서구,가장동,소매업,113
2024-03-01,30170570,서구,가장동,수리 및 개인 서비스업,78
2024-03-01,30170570,서구,가장동,숙박업,0
2024-03-01,30170570,서구,가장동,"예술, 스포츠 및 여가관련 서비스업",17
2024-03-01,30170570,서구,가장동,음식점업,85
2024-03-01,30170570,서구,가장동,"전문, 과학 및 기술 서비스업",24
2024-03-01,30170575,서구,내동,교육 서비스업,32
2024-03-01,30170575,서구,내동,보건의료업,2
2024-03-01,30170575,서구,내동,부동산업,23
2024-03-01,30170575,서구,내동,"사업시설 관리, 사업 지원 및 임대 서비스업",23
2024-03-01,30170575,서구,내동,소매업,149
2024-03-01,30170575,서구,내동,수리 및 개인 서비스업,112
2024-03-01,30170575,서구,내동,숙박업,0
2024-03-01,30170575,서구,내동,"예술, 스포츠 및 여가관련 서비스업",23
2024-03-01,30170575,서구,내동,음식점업,129
2024-03-01,30170575,서구,내동,"전문, 과학 및 기술 서비스업",58
2024-03-01,30170581,서구,갈마1동,교육 서비스업,37
2024-03-01,30170581,서구,갈마1동,보건의료업,6
2024-03-01,30170581,서구,갈마1동,부동산업,35
